	Price Matrix for Scan-to-BIM																
																	
																	
1	Residential Standard (Single Family)																
	Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.110	0.150	0.197	0.238	0.035	0.055	0.065	0.075	0.025	0.035	0.040	0.045	0.010	0.012	0.015	0.020
	5k-10k	0.105	0.145	0.186	0.225	0.030	0.050	0.055	0.065	0.020	0.030	0.035	0.040	0.010	0.012	0.015	0.020
	10k-20k	0.100	0.140	0.180	0.218	0.025	0.045	0.050	0.060	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	20k-30k	0.095	0.135	0.166	0.192	0.020	0.040	0.045	0.055	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	30k-40k	0.095	0.130	0.166	0.191	0.015	0.035	0.040	0.050	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.016
	40k-50k	0.090	0.125	0.160	0.185	0.015	0.030	0.035	0.045	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.016
	50k-75k	0.075	0.115	0.132	0.152	0.010	0.025	0.030	0.040	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.014
	75k-100k	0.055	0.085	0.111	0.128	0.010	0.020	0.025	0.035	0.010	0.020	0.025	0.030	0.010	0.010	0.010	0.014
	100k+	0.040	0.060	0.074	0.086	0.010	0.015	0.020	0.030	0.010	0.015	0.020	0.025	0.010	0.010	0.010	0.012
																	
2	Residential Standard (Multi Family)																
	Housing classification for structures designed to accommodate multiple separate dwelling units within a single building.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.120	0.160	0.207	0.248	0.040	0.060	0.070	0.080	0.025	0.035	0.040	0.045	0.010	0.012	0.015	0.020
	5k-10k	0.115	0.155	0.196	0.235	0.035	0.055	0.060	0.070	0.025	0.035	0.040	0.045	0.010	0.012	0.015	0.020
	10k-20k	0.110	0.150	0.190	0.228	0.030	0.050	0.055	0.065	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	20k-30k	0.100	0.135	0.176	0.202	0.025	0.045	0.050	0.060	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	30k-40k	0.095	0.130	0.171	0.196	0.020	0.040	0.045	0.055	0.020	0.030	0.035	0.040	0.010	0.010	0.012	0.016
	40k-50k	0.090	0.125	0.165	0.190	0.015	0.035	0.040	0.050	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.016
	50k-75k	0.080	0.120	0.137	0.157	0.010	0.030	0.035	0.045	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.014
	75k-100k	0.060	0.090	0.116	0.133	0.010	0.025	0.030	0.040	0.015	0.025	0.030	0.035	0.010	0.010	0.010	0.014
	100k+	0.045	0.065	0.079	0.091	0.010	0.020	0.025	0.035	0.010	0.020	0.025	0.030	0.010	0.010	0.010	0.012
																	
3	Residential Luxury 																
	High-end, upscale living spaces with premium amenities, exceptional design, and exclusive features, offering a luxurious lifestyle.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.135	0.175	0.222	0.263	0.050	0.070	0.080	0.090	0.035	0.045	0.050	0.055	0.015	0.017	0.020	0.025
	5k-10k	0.130	0.170	0.211	0.250	0.045	0.065	0.070	0.080	0.035	0.045	0.050	0.055	0.015	0.017	0.020	0.025
	10k-20k	0.125	0.165	0.205	0.243	0.040	0.060	0.065	0.075	0.030	0.040	0.045	0.050	0.015	0.016	0.018	0.023
	20k-30k	0.120	0.160	0.191	0.217	0.035	0.055	0.060	0.070	0.030	0.040	0.045	0.050	0.015	0.016	0.018	0.023
	30k-40k	0.110	0.150	0.181	0.206	0.030	0.050	0.055	0.065	0.030	0.040	0.045	0.050	0.015	0.015	0.017	0.021
	40k-50k	0.105	0.145	0.175	0.200	0.025	0.045	0.050	0.060	0.025	0.035	0.040	0.045	0.015	0.015	0.017	0.021
	50k-75k	0.090	0.130	0.147	0.167	0.020	0.040	0.045	0.055	0.025	0.035	0.040	0.045	0.015	0.015	0.017	0.019
	75k-100k	0.070	0.100	0.126	0.143	0.020	0.035	0.040	0.050	0.025	0.035	0.040	0.045	0.015	0.015	0.015	0.019
	100k+	0.055	0.075	0.089	0.101	0.020	0.030	0.035	0.045	0.020	0.030	0.035	0.040	0.015	0.015	0.015	0.017
																	
4	Commercial/Office																
	A structure designed and designated for business and professional activities, providing office spaces and facilities for commercial enterprises.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.105	0.145	0.192	0.233	0.045	0.065	0.075	0.085	0.040	0.050	0.055	0.060	0.010	0.012	0.015	0.020
	5k-10k	0.100	0.140	0.181	0.220	0.040	0.060	0.065	0.075	0.040	0.050	0.055	0.060	0.010	0.012	0.015	0.020
	10k-20k	0.095	0.135	0.175	0.213	0.035	0.055	0.060	0.070	0.035	0.045	0.050	0.055	0.010	0.011	0.013	0.018
	20k-30k	0.090	0.130	0.161	0.187	0.030	0.050	0.055	0.065	0.035	0.045	0.050	0.055	0.010	0.011	0.013	0.018
	30k-40k	0.080	0.120	0.156	0.181	0.025	0.045	0.050	0.060	0.035	0.045	0.050	0.055	0.010	0.010	0.012	0.016
	40k-50k	0.070	0.115	0.150	0.175	0.020	0.040	0.045	0.055	0.030	0.040	0.045	0.050	0.010	0.010	0.012	0.016
	50k-75k	0.065	0.105	0.122	0.142	0.015	0.035	0.040	0.050	0.030	0.040	0.045	0.050	0.010	0.010	0.012	0.014
	75k-100k	0.045	0.075	0.101	0.118	0.015	0.030	0.035	0.045	0.030	0.040	0.045	0.050	0.010	0.010	0.010	0.014
	100k+	0.030	0.050	0.064	0.076	0.015	0.025	0.030	0.040	0.025	0.035	0.040	0.045	0.010	0.010	0.010	0.012
																	
5	Retail/Restaurants/Cafe																
	A commercial structure designed for the sale of goods or provision of food services, catering to retail, dining, and dietary experiences.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.130	0.170	0.217	0.258	0.035	0.055	0.065	0.075	0.035	0.045	0.050	0.055	0.010	0.012	0.015	0.020
	5k-10k	0.125	0.165	0.206	0.245	0.030	0.050	0.055	0.065	0.035	0.045	0.050	0.055	0.010	0.012	0.015	0.020
	10k-20k	0.120	0.160	0.200	0.238	0.025	0.045	0.050	0.060	0.030	0.040	0.045	0.050	0.010	0.011	0.013	0.018
	20k-30k	0.110	0.150	0.186	0.212	0.020	0.040	0.045	0.055	0.030	0.040	0.045	0.050	0.010	0.011	0.013	0.018
	30k-40k	0.110	0.135	0.176	0.201	0.015	0.035	0.040	0.050	0.030	0.040	0.045	0.050	0.010	0.010	0.012	0.016
	40k-50k	0.095	0.130	0.170	0.195	0.015	0.030	0.035	0.045	0.025	0.035	0.040	0.045	0.010	0.010	0.012	0.016
	50k-75k	0.085	0.125	0.142	0.162	0.010	0.025	0.030	0.040	0.025	0.035	0.040	0.045	0.010	0.010	0.012	0.014
	75k-100k	0.065	0.095	0.121	0.138	0.010	0.020	0.025	0.035	0.025	0.035	0.040	0.045	0.010	0.010	0.010	0.014
	100k+	0.050	0.070	0.084	0.096	0.010	0.015	0.020	0.030	0.020	0.030	0.035	0.040	0.010	0.010	0.010	0.012
																	
6	Kitchen space/ Catering Kitchen																
	Dedicated area equipped for food preparation, often utilized for professional catering services or large-scale culinary operations.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.105	0.145	0.192	0.233	0.050	0.070	0.080	0.090	0.045	0.055	0.060	0.065	0.010	0.012	0.015	0.020
	5k-10k	0.100	0.140	0.181	0.220	0.045	0.065	0.070	0.080	0.045	0.055	0.060	0.065	0.010	0.012	0.015	0.020
	10k-20k	0.095	0.135	0.175	0.213	0.040	0.060	0.065	0.075	0.040	0.050	0.055	0.060	0.010	0.011	0.013	0.018
	20k-30k	0.090	0.130	0.161	0.187	0.035	0.055	0.060	0.070	0.040	0.050	0.055	0.060	0.010	0.011	0.013	0.018
	30k-40k	0.085	0.125	0.156	0.181	0.030	0.050	0.055	0.065	0.040	0.050	0.055	0.060	0.010	0.010	0.012	0.016
	40k-50k	0.080	0.120	0.150	0.175	0.025	0.045	0.050	0.060	0.035	0.045	0.050	0.055	0.010	0.010	0.012	0.016
	50k-75k	0.065	0.105	0.122	0.142	0.020	0.040	0.045	0.055	0.035	0.045	0.050	0.055	0.010	0.010	0.012	0.014
	75k-100k	0.045	0.075	0.101	0.118	0.020	0.035	0.040	0.050	0.035	0.045	0.050	0.055	0.010	0.010	0.010	0.014
	100k+	0.030	0.050	0.064	0.076	0.020	0.030	0.035	0.045	0.030	0.040	0.045	0.050	0.010	0.010	0.010	0.012
																	
7	Schools/ College Campus/ Education Building																
	An educational facility or complex providing classrooms, administrative offices, and recreational spaces to support academic activities and student development.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.115	0.155	0.202	0.243	0.040	0.060	0.070	0.080	0.030	0.040	0.045	0.050	0.020	0.022	0.025	0.030
	5k-10k	0.110	0.150	0.191	0.230	0.035	0.055	0.060	0.070	0.030	0.040	0.045	0.050	0.020	0.022	0.025	0.030
	10k-20k	0.105	0.145	0.185	0.223	0.030	0.050	0.055	0.065	0.025	0.035	0.040	0.045	0.020	0.021	0.023	0.028
	20k-30k	0.100	0.140	0.171	0.197	0.025	0.045	0.050	0.060	0.025	0.035	0.040	0.045	0.020	0.021	0.023	0.028
	30k-40k	0.090	0.125	0.166	0.191	0.020	0.040	0.045	0.055	0.025	0.035	0.040	0.045	0.020	0.020	0.022	0.026
	40k-50k	0.085	0.120	0.160	0.185	0.015	0.035	0.040	0.050	0.020	0.030	0.035	0.040	0.020	0.020	0.022	0.026
	50k-75k	0.070	0.110	0.132	0.152	0.010	0.030	0.035	0.045	0.020	0.030	0.035	0.040	0.020	0.020	0.022	0.024
	75k-100k	0.055	0.085	0.111	0.128	0.010	0.025	0.030	0.040	0.020	0.030	0.035	0.040	0.020	0.020	0.020	0.024
	100k+	0.040	0.060	0.074	0.086	0.010	0.020	0.025	0.035	0.015	0.025	0.030	0.035	0.020	0.020	0.020	0.022
																	
8	Hotel/Theatre/Museum																
	A multi-functional establishment offering accommodation, entertainment performances, and curated exhibits, providing diverse experiences for guests and visitors.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.135	0.175	0.222	0.263	0.050	0.070	0.080	0.090	0.035	0.045	0.050	0.055	0.015	0.017	0.020	0.025
	5k-10k	0.130	0.170	0.211	0.250	0.045	0.065	0.070	0.080	0.035	0.045	0.050	0.055	0.015	0.017	0.020	0.025
	10k-20k	0.125	0.165	0.205	0.243	0.040	0.060	0.065	0.075	0.030	0.040	0.045	0.050	0.015	0.016	0.018	0.023
	20k-30k	0.115	0.145	0.191	0.217	0.035	0.055	0.060	0.070	0.030	0.040	0.045	0.050	0.015	0.016	0.018	0.023
	30k-40k	0.105	0.140	0.181	0.206	0.030	0.050	0.055	0.065	0.030	0.040	0.045	0.050	0.015	0.015	0.017	0.021
	40k-50k	0.095	0.125	0.175	0.200	0.025	0.045	0.050	0.060	0.025	0.035	0.040	0.045	0.015	0.015	0.017	0.021
	50k-75k	0.080	0.120	0.147	0.167	0.020	0.040	0.045	0.055	0.025	0.035	0.040	0.045	0.015	0.015	0.017	0.019
	75k-100k	0.060	0.100	0.126	0.143	0.020	0.035	0.040	0.050	0.025	0.035	0.040	0.045	0.015	0.015	0.015	0.019
	100k+	0.055	0.075	0.089	0.101	0.020	0.030	0.035	0.045	0.020	0.030	0.035	0.040	0.015	0.015	0.015	0.017
																	
9	Hospitals/ Mixed use																
	A facility combining medical services within a diverse environment, featuring a mix of healthcare spaces along with commercial or residential components.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
