Category,Product / Service,Description,SKU,Type,Price
Added Disciplines,Grade - LoD 200,Scan2Plan Grade Service includes modeling and drafting of the building grade 20' surrounding the building. Basic topography with approx dimentions of features and buildings,AD GRADE 200,Service,0
Added Disciplines,Grade - LoD 300,"Scan2Plan Grade Service includes modeling and drafting of the building grade 20' surrounding the building. Basic topography with added details like type, pattern and basic ground features",AD GRADE 300,Service,0
Added Disciplines,Grade - LoD 350,"Scan2Plan Grade Service includes modeling and drafting of the building grade 20' surrounding the building. Detailed topography including land development features, finishes, flower beds, shrubbery, trees in sidewalk boxes or on mowed land",AD GRADE 350,Service,0
Added Disciplines,MEPF LoD 200,"Any visible mechanical, electrical, plumbing, HVAC and fire safety components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds generic systems with approximate size/location for space-claim and early coordination—no fabrication intent.",AD MEPF 200,Service,0
Added Disciplines,MEPF LoD 300,"Any visible mechanical, electrical, plumbing, HVAC and fire safety components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds accurately sized/placed elements suitable for measured quantities and CDs; coordination-ready geometry.",AD MEPF 300,Service,0
Added Disciplines,MEPF LoD 350,"Any visible mechanical, electrical, plumbing, HVAC and fire safety components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds connections, supports, and interface features so penetrations/mounting align across trades for clash resolution.",AD MEPF 350,Service,0
Added Disciplines,Structural Modeling - LoD 200,"Any visible structural components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds generic systems with approximate size/location for space-claim and early coordination—no fabrication intent.",AD STR MOD 200,Service,0
Added Disciplines,Structural Modeling - LoD 300,"Any visible structural components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds accurately sized/placed elements suitable for measured quantities and CDs; coordination-ready geometry.",AD STR MOD 300,Service,0
Added Disciplines,Structural Modeling - LoD 350,"Any visible structural components will be included in the BIM and/or working drawings. Specific size, shape, location, and orientation will be indicated. Adds connections, supports, and interface features so penetrations/mounting align across trades for clash resolution.",AD STR MOD 350,Service,0
Add Ons,Georeferencing,"Georeferencing (Survey-grade): Point cloud data coordinates Georeferenced using GNSS System. Establish shared coordinates tied to civil survey control (EPSG/State Plane); set Revit Shared Site, verify against a linked survey DWG, and publish coordinates for downstream DWG/IFC exports so models land in the right spot in Civil 3D/GIS. Includes QC report + test DWG export.",AO GEOREF,Service,0
Add Ons,IFC / DXF Model,"Converted from Revit (.rvt) into .ifc or .dxf, file format.",AO IFC DXF,Service,0
Add Ons,Matterport 3D Tour,"High resolution 360 photo documentation and virtual tour walkthrough. An excellent remote collaboration tool, easily shared and viewed on any mobile or desktop device, Includes 3D dollhouse, floor plan views, and site-specific custom annotations.",AO MAT 3D TOUR,Service,0
Add Ons,Rhino Model,3D DWG Model with discreet geometry converted from Revit for Rinoceros fidelity,AO RHINO MDL,Service,0
Add Ons,Sketchup Model,.skp Model with discreet geometry converted from Revit for Sketchup fidelity,AO SKETCH MOD,Service,0
Add Ons,Vectorworks Model,"Revit, IFC and/or DWG with discreet geometry converted from Revit for Vectorworks fidelity",AO VCT MDL,Service,0
CAD,CAD Interior Elevations LoD 200,CAD Interior Elevations LoD 200 (per sheet) - dwg & pdf,CAD INT ELEV 200,Service,0
CAD,CAD Interior Elevations LoD 300,CAD Interior Elevations LoD 300 (per sheet) - dwg & pdf,CAD INT ELEV 300,Service,0
CAD,CAD Interior Elevations LoD 350,CAD Interior Elevations LoD 350 (per sheet) - dwg & pdf,CAD INT ELEV 350,Service,0
CAD,CAD Interior Package - LoD 200,CAD Interior Package Lod 200 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. Deliverables include: • Floor Plan(s) • Up to 6 sections or interior elevations • Reflected Ceiling Plan(s),CAD INT PKG 200,Service,0
CAD,CAD Interior Package - LoD 300,CAD Interior Package Lod 300 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 300 CAD standard. Deliverables include: • Floor Plan(s) • Up to 6 sections or interior elevations • Reflected Ceiling Plan(s),CAD INT PKG 300,Service,0
CAD,CAD Interior Package - LoD 350,CAD Interior Package Lod 350 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 350 CAD standard. Deliverables include: • Floor Plan(s) • Up to 6 sections or interior elevations • Reflected Ceiling Plan(s),CAD INT PKG 350,Service,0
CAD,CAD + MEPF Standard Package,CAD + MEPF Standard Package Deliverables include: • Floor Plans • Reflected Ceiling Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. Deliverables include: • Floor Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan,CAD MEPF STD PKG,Service,0
CAD,CAD Sections,CAD Sections (per sheet) - dwg & pdf,CAD SEC,Service,0
CAD,CAD Standard Package - LoD 200,CAD Standard Package LoD 200 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. Deliverables include: • Floor Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan,CAD STD PKG 200,Service,0
CAD,CAD Standard Package - LoD 300,CAD Standard Package LoD 300 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 300 CAD standard. Deliverables include: • Floor Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan,CAD STD PKG 300,Service,0
CAD,CAD Standard Package - LoD 350,CAD Standard Package LoD 350 A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 350 CAD standard. Deliverables include: • Floor Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan,CAD STD PKG 350,Service,0
CAD,CAD + Structure + MEPF + Site Package,CAD + Structure + MEPF + Site Package,CAD STC MEPF PKG,Service,0
CAD,CAD + Structure Standard Package,CAD + Structure Standard Package A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. Deliverables include: • Floor Plans • Reflected Ceiling Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. Deliverables include: • Floor Plans • Up to 4 sections or interior elevations • Exterior Elevations • Roof Plan,CAD STC STD PKG,Service,0
HVT,2D / 3D Floor Plan Combo,Schematic Floor Plans & juicy full-color furnished Floor Plans in one package,HVT 2D / 3D PKG,Service,99
HVT,2D Floor Plan,Order Schematic Floor Plans directly from the tour; deliver labeled 2D plans with total area and ANSI GLA option (where needed). Marketing-grade (not construction).,HVT 2ND TOUR,Service,50
HVT,3D Floor Plan,"Order juicy full-color furnished Floor Plans directly from the tour; quick read of entire space; realistic looks, more detail; attracts serious buyer interest",HVT 3D TOUR,Service,65
