"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at","updated_by"
"1","1","0-5k","architecture","lod200","0.759","""2025-10-13T19:48:59.300Z""",
"2","1","0-5k","architecture","lod300","1.035","""2025-10-13T19:48:59.300Z""",
"3","1","0-5k","architecture","lod350","1.359","""2025-10-13T19:48:59.300Z""",
"4","1","0-5k","architecture","lod350plus","1.645","""2025-10-13T19:48:59.300Z""",
"5","1","0-5k","structure","lod200","0.105","""2025-10-13T19:48:59.300Z""",
"6","1","0-5k","structure","lod300","0.165","""2025-10-13T19:48:59.300Z""",
"7","1","0-5k","structure","lod350","0.195","""2025-10-13T19:48:59.300Z""",
"8","1","0-5k","structure","lod350plus","0.225","""2025-10-13T19:48:59.300Z""",
"9","1","0-5k","mepf","lod200","0.075","""2025-10-13T19:48:59.300Z""",
"10","1","0-5k","mepf","lod300","0.105","""2025-10-13T19:48:59.300Z""",
"11","1","0-5k","mepf","lod350","0.120","""2025-10-13T19:48:59.300Z""",
"12","1","0-5k","mepf","lod350plus","0.135","""2025-10-13T19:48:59.300Z""",
"13","1","0-5k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"14","1","0-5k","site","lod300","0.072","""2025-10-13T19:48:59.300Z""",
"15","1","0-5k","site","lod350","0.090","""2025-10-13T19:48:59.300Z""",
"16","1","0-5k","site","lod350plus","0.120","""2025-10-13T19:48:59.300Z""",
"17","1","5k-10k","architecture","lod200","0.725","""2025-10-13T19:48:59.300Z""",
"18","1","5k-10k","architecture","lod300","1.001","""2025-10-13T19:48:59.300Z""",
"19","1","5k-10k","architecture","lod350","1.280","""2025-10-13T19:48:59.300Z""",
"20","1","5k-10k","architecture","lod350plus","1.550","""2025-10-13T19:48:59.300Z""",
"21","1","5k-10k","structure","lod200","0.090","""2025-10-13T19:48:59.300Z""",
"22","1","5k-10k","structure","lod300","0.150","""2025-10-13T19:48:59.300Z""",
"23","1","5k-10k","structure","lod350","0.165","""2025-10-13T19:48:59.300Z""",
"24","1","5k-10k","structure","lod350plus","0.195","""2025-10-13T19:48:59.300Z""",
"25","1","5k-10k","mepf","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"26","1","5k-10k","mepf","lod300","0.090","""2025-10-13T19:48:59.300Z""",
"27","1","5k-10k","mepf","lod350","0.105","""2025-10-13T19:48:59.300Z""",
"28","1","5k-10k","mepf","lod350plus","0.120","""2025-10-13T19:48:59.300Z""",
"29","1","5k-10k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"30","1","5k-10k","site","lod300","0.072","""2025-10-13T19:48:59.300Z""",
"31","1","5k-10k","site","lod350","0.090","""2025-10-13T19:48:59.300Z""",
"32","1","5k-10k","site","lod350plus","0.120","""2025-10-13T19:48:59.300Z""",
"33","1","10k-20k","architecture","lod200","0.630","""2025-10-13T19:48:59.300Z""",
"34","1","10k-20k","architecture","lod300","0.882","""2025-10-13T19:48:59.300Z""",
"35","1","10k-20k","architecture","lod350","1.132","""2025-10-13T19:48:59.300Z""",
"36","1","10k-20k","architecture","lod350plus","1.372","""2025-10-13T19:48:59.300Z""",
"37","1","10k-20k","structure","lod200","0.075","""2025-10-13T19:48:59.300Z""",
"38","1","10k-20k","structure","lod300","0.135","""2025-10-13T19:48:59.300Z""",
"39","1","10k-20k","structure","lod350","0.150","""2025-10-13T19:48:59.300Z""",
"40","1","10k-20k","structure","lod350plus","0.180","""2025-10-13T19:48:59.300Z""",
"41","1","10k-20k","mepf","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"42","1","10k-20k","mepf","lod300","0.075","""2025-10-13T19:48:59.300Z""",
"43","1","10k-20k","mepf","lod350","0.088","""2025-10-13T19:48:59.300Z""",
"44","1","10k-20k","mepf","lod350plus","0.100","""2025-10-13T19:48:59.300Z""",
"45","1","10k-20k","site","lod200","0.060","""2025-10-13T19:48:59.300Z""",
"46","1","10k-20k","site","lod300","0.066","""2025-10-13T19:48:59.300Z""",
"47","1","10k-20k","site","lod350","0.078","""2025-10-13T19:48:59.300Z""",
"48","1","10k-20k","site","lod350plus","0.108","""2025-10-13T19:48:59.300Z""",
"49","1","20k-30k","architecture","lod200","0.546","""2025-10-13T19:48:59.300Z""",
"50","1","20k-30k","architecture","lod300","0.776","""2025-10-13T19:48:59.300Z""",
"51","1","20k-30k","architecture","lod350","0.955","""2025-10-13T19:48:59.300Z""",
"52","1","20k-30k","architecture","lod350plus","1.106","""2025-10-13T19:48:59.300Z""",
"53","1","20k-30k","structure","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"54","1","20k-30k","structure","lod300","0.100","""2025-10-13T19:48:59.300Z""",
"55","1","20k-30k","structure","lod350","0.113","""2025-10-13T19:48:59.300Z""",
"56","1","20k-30k","structure","lod350plus","0.138","""2025-10-13T19:48:59.300Z""",
"57","1","20k-30k","mepf","lod200","0.050","""2025-10-13T19:48:59.300Z""",
"58","1","20k-30k","mepf","lod300","0.075","""2025-10-13T19:48:59.300Z""",
"59","1","20k-30k","mepf","lod350","0.088","""2025-10-13T19:48:59.300Z""",
