"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"1","1","0-5k","architecture","lod200","0.110","""2025-10-22T14:14:40.564Z"""
"2","1","0-5k","architecture","lod300","0.150","""2025-10-22T14:14:40.564Z"""
"3","1","0-5k","architecture","lod350","0.197","""2025-10-22T14:14:40.564Z"""
"4","1","0-5k","architecture","lod350plus","0.238","""2025-10-22T14:14:40.564Z"""
"5","1","0-5k","structure","lod200","0.035","""2025-10-22T14:14:40.564Z"""
"6","1","0-5k","structure","lod300","0.055","""2025-10-22T14:14:40.564Z"""
"7","1","0-5k","structure","lod350","0.065","""2025-10-22T14:14:40.564Z"""
"8","1","0-5k","structure","lod350plus","0.075","""2025-10-22T14:14:40.564Z"""
"9","1","0-5k","mepf","lod200","0.025","""2025-10-22T14:14:40.564Z"""
"10","1","0-5k","mepf","lod300","0.035","""2025-10-22T14:14:40.564Z"""
"11","1","0-5k","mepf","lod350","0.040","""2025-10-22T14:14:40.564Z"""
"12","1","0-5k","mepf","lod350plus","0.045","""2025-10-22T14:14:40.564Z"""
"13","1","0-5k","site","lod200","0.010","""2025-10-22T14:14:40.564Z"""
"14","1","0-5k","site","lod300","0.012","""2025-10-22T14:14:40.564Z"""
"15","1","0-5k","site","lod350","0.015","""2025-10-22T14:14:40.564Z"""
"16","1","0-5k","site","lod350plus","0.020","""2025-10-22T14:14:40.564Z"""
"17","1","5k-10k","architecture","lod200","0.105","""2025-10-22T14:14:40.564Z"""
"18","1","5k-10k","architecture","lod300","0.145","""2025-10-22T14:14:40.564Z"""
"19","1","5k-10k","architecture","lod350","0.186","""2025-10-22T14:14:40.564Z"""
"20","1","5k-10k","architecture","lod350plus","0.225","""2025-10-22T14:14:40.564Z"""
"21","1","5k-10k","structure","lod200","0.030","""2025-10-22T14:14:40.564Z"""
"22","1","5k-10k","structure","lod300","0.050","""2025-10-22T14:14:40.564Z"""
"23","1","5k-10k","structure","lod350","0.055","""2025-10-22T14:14:40.564Z"""
"24","1","5k-10k","structure","lod350plus","0.065","""2025-10-22T14:14:40.564Z"""
"25","1","5k-10k","mepf","lod200","0.020","""2025-10-22T14:14:40.564Z"""
"26","1","5k-10k","mepf","lod300","0.030","""2025-10-22T14:14:40.564Z"""
"27","1","5k-10k","mepf","lod350","0.035","""2025-10-22T14:14:40.564Z"""
"28","1","5k-10k","mepf","lod350plus","0.040","""2025-10-22T14:14:40.564Z"""
"29","1","5k-10k","site","lod200","0.010","""2025-10-22T14:14:40.564Z"""
"30","1","5k-10k","site","lod300","0.012","""2025-10-22T14:14:40.564Z"""
"31","1","5k-10k","site","lod350","0.015","""2025-10-22T14:14:40.564Z"""
"32","1","5k-10k","site","lod350plus","0.020","""2025-10-22T14:14:40.564Z"""
"33","1","10k-20k","architecture","lod200","0.100","""2025-10-22T14:14:40.564Z"""
"34","1","10k-20k","architecture","lod300","0.140","""2025-10-22T14:14:40.564Z"""
"35","1","10k-20k","architecture","lod350","0.180","""2025-10-22T14:14:40.564Z"""
"36","1","10k-20k","architecture","lod350plus","0.218","""2025-10-22T14:14:40.564Z"""
"37","1","10k-20k","structure","lod200","0.025","""2025-10-22T14:14:40.564Z"""
"38","1","10k-20k","structure","lod300","0.045","""2025-10-22T14:14:40.564Z"""
"39","1","10k-20k","structure","lod350","0.050","""2025-10-22T14:14:40.564Z"""
"40","1","10k-20k","structure","lod350plus","0.060","""2025-10-22T14:14:40.564Z"""
"41","1","10k-20k","mepf","lod200","0.020","""2025-10-22T14:14:40.564Z"""
"42","1","10k-20k","mepf","lod300","0.030","""2025-10-22T14:14:40.564Z"""
"43","1","10k-20k","mepf","lod350","0.035","""2025-10-22T14:14:40.564Z"""
"44","1","10k-20k","mepf","lod350plus","0.040","""2025-10-22T14:14:40.564Z"""
"45","1","10k-20k","site","lod200","0.010","""2025-10-22T14:14:40.564Z"""
"46","1","10k-20k","site","lod300","0.011","""2025-10-22T14:14:40.564Z"""
"47","1","10k-20k","site","lod350","0.013","""2025-10-22T14:14:40.564Z"""
"48","1","10k-20k","site","lod350plus","0.018","""2025-10-22T14:14:40.564Z"""
"49","1","20k-30k","architecture","lod200","0.095","""2025-10-22T14:14:40.564Z"""
"50","1","20k-30k","architecture","lod300","0.135","""2025-10-22T14:14:40.564Z"""
"51","1","20k-30k","architecture","lod350","0.166","""2025-10-22T14:14:40.564Z"""
"52","1","20k-30k","architecture","lod350plus","0.192","""2025-10-22T14:14:40.564Z"""
"53","1","20k-30k","structure","lod200","0.020","""2025-10-22T14:14:40.564Z"""
"54","1","20k-30k","structure","lod300","0.040","""2025-10-22T14:14:40.564Z"""
"55","1","20k-30k","structure","lod350","0.045","""2025-10-22T14:14:40.564Z"""
